num,label,count,mean,median,max,coords
61,"Precuneous Cortex, left part",306,31487.9768561,31396.3046875,39147.6679688,[ -5. -53.  43.]
62,"Precuneous Cortex, right part",281,32114.3373346,32014.8515625,36477.09375,"[[ 12.5 -58.   28. ]
 [ 12.5 -55.5  25.5]]"
2,"Frontal Pole, right part",203,29777.4414351,29788.7011719,34557.171875,[ 35.   39.5  40.5]
16,"Temporal Pole, right part",201,31049.9767568,31287.6425781,33735.453125,[ 45.   7. -27.]
8,"Middle Frontal Gyrus, right part",136,29881.7118423,29691.8203125,33252.5507812,[ 27.5  29.5  40.5]
24,"Middle Temporal Gyrus, posterior division, right part",131,31015.974013,29956.328125,35611.9960938,[ 60.  -10.5  -9.5]
60,"Cingulate Gyrus, posterior division, right part",101,31405.3446395,30912.9824219,34910.578125,[ 15.  -50.5   5.5]
12,"Inferior Frontal Gyrus, pars opercularis, right part",78,30176.1220703,30010.7421875,31972.8203125,[ 52.5  17.   20.5]
10,"Inferior Frontal Gyrus, pars triangularis, right part",78,29978.2833784,30065.390625,31813.4667969,[ 47.5  29.5  18. ]
21,"Middle Temporal Gyrus, anterior division, left part",63,32540.8014633,32435.671875,39239.0546875,[-57.5 -10.5 -27. ]
72,"Lingual Gyrus, right part",61,30895.7108735,30084.6035156,34854.1210938,[ 12.5 -50.5   0.5]
59,"Cingulate Gyrus, posterior division, left part",60,31297.2628581,31396.3046875,33869.4570312,[ -2.5 -40.5  35.5]
20,"Superior Temporal Gyrus, posterior division, right part",53,31607.4320828,31287.6425781,36132.984375,[ 47.5  -8.  -17. ]
71,"Lingual Gyrus, left part",51,29912.0333563,29542.4453125,31740.5820312,[-10.  -63.    5.5]
22,"Middle Temporal Gyrus, anterior division, right part",46,32806.1666525,32563.796875,44151.5625,[ 52.5  -3.  -27. ]
66,"Frontal Orbital Cortex, right part",38,30062.1266447,29974.0214844,31613.5683594,[ 40.   19.5  -9.5]
78,"Temporal Occipital Fusiform Cortex, right part",37,29162.2920714,29240.1445312,29866.2480469,"[[ 37.5 -53.  -12. ]
 [ 37.5 -50.5 -12. ]]"
6,"Superior Frontal Gyrus, right part",36,30080.5337457,29788.7011719,32908.1875,[ 25.   29.5  45.5]
18,"Superior Temporal Gyrus, anterior division, right part",35,32045.5768415,32174.1113281,35924.5742188,[ 50.   -0.5 -17. ]
47,"Intracalcarine Cortex, left part",34,30422.9376149,30372.5253906,31859.7089844,[-12.5 -63.    5.5]
14,"Precentral Gyrus, right part",29,29313.0070043,29213.0488281,30516.9550781,"[[ 62.5  12.   23. ]
 [ 57.5   9.5  18. ]]"
48,"Intracalcarine Cortex, right part",25,32068.5804687,32014.8515625,34627.875,[ 15.  -60.5   5.5]
64,"Cuneal Cortex, right part",25,30188.5426562,29436.5449219,34321.7460938,[  5.  -68.   20.5]
4,"Insular Cortex, right part",24,30191.7513835,29956.328125,31551.1699219,"[[ 42.5  17.   -7. ]
 [ 40.   17.   -7. ]
 [ 40.   19.5  -7. ]]"
68,"Parahippocampal Gyrus, anterior division, right part",20,29390.3180664,28666.8925781,32080.7792969,[ 27.5   2.  -37. ]
33,"Postcentral Gyrus, left part",19,31668.4049137,32005.1425781,32853.484375,[ -2.5 -40.5  55.5]
76,"Temporal Fusiform Cortex, posterior division, right part",17,30175.1636029,29956.328125,31724.3027344,[ 40.  -15.5 -29.5]
17,"Superior Temporal Gyrus, anterior division, left part",16,32148.2194824,31707.2148438,35029.046875,[-50.   -8.  -14.5]
30,"Inferior Temporal Gyrus, posterior division, right part",13,28786.2354267,28747.4824219,29179.4316406,[ 65.  -25.5 -22. ]
92,"Planum Temporale, right part",12,28893.2924805,28831.4101562,29287.5410156,[ 57.5 -30.5  13. ]
58,"Cingulate Gyrus, anterior division, right part",11,29344.9236506,29171.1054688,30681.7578125,[  2.5  -3.   33. ]
42,"Angular Gyrus, right part",10,28956.5333984,28905.1074219,29323.2148438,[ 60. -58.  23.]
88,"Planum Polare, right part",10,30493.1138672,29956.328125,33699.6210938,[ 45.   -5.5 -17. ]
94,"Supracalcarine Cortex, right part",8,30674.9450684,30498.7929688,32544.1035156,"[[ 15.  -63.   13. ]
 [  2.5 -68.   15.5]]"
23,"Middle Temporal Gyrus, posterior division, left part",8,30396.8334961,29563.2109375,33692.25,[-52.5 -10.5 -17. ]
70,"Parahippocampal Gyrus, posterior division, right part",7,29829.1693638,29839.5195312,30131.5722656,[ 15. -33. -12.]
84,"Central Opercular Cortex, right part",7,28999.1777344,29114.3183594,29251.4003906,[ 50.   2.   8.]
34,"Postcentral Gyrus, right part",6,28678.0999349,28681.6347656,28786.953125,[ 60.  -15.5  43. ]
93,"Supracalcarine Cortex, left part",5,29811.859375,29261.6875,30637.1171875,"[[-10.  -65.5  13. ]
 [-12.5 -65.5  13. ]]"
13,"Precentral Gyrus, left part",4,30936.4106445,31044.8730469,32394.2089844,[ -2.5 -35.5  55.5]
32,"Inferior Temporal Gyrus, temporooccipital part, right part",4,28977.2724609,29067.6699219,29183.2675781,[ 47.5 -45.5 -27. ]
87,"Planum Polare, left part",3,30979.171224,30466.5800781,32004.3535156,[-42.5  -0.5 -19.5]
44,"Lateral Occipital Cortex, superior division, right part",3,28805.0279948,28833.4394531,28905.1074219,[ 60.  -60.5  23. ]
19,"Superior Temporal Gyrus, posterior division, left part",2,31290.5859375,31290.5859375,32655.4589844,[-55. -13.  -7.]
26,"Middle Temporal Gyrus, temporooccipital part, right part",2,28859.3339844,28859.3339844,28926.6425781,[ 50.  -40.5   0.5]
86,"Parietal Operculum Cortex, right part",1,28696.3847656,28696.3847656,28696.3847656,[ 55.  -20.5  13. ]
74,"Temporal Fusiform Cortex, anterior division, right part",1,29179.4316406,29179.4316406,29179.4316406,[ 32.5  -0.5 -39.5]
90,"Heschl's Gyrus (includes H1 and H2), right part",1,29188.015625,29188.015625,29188.015625,[ 55.  -20.5  10.5]
57,"Cingulate Gyrus, anterior division, left part",1,29281.8222656,29281.8222656,29281.8222656,[ -2.5  -3.   33. ]
15,"Temporal Pole, left part",1,29955.140625,29955.140625,29955.140625,[-52.5   4.5 -22. ]
