num,label,count,mean,median,max,coords
2,"Frontal Pole, right part",544,30897.0673182,31275.1367188,37065.0976562,[ 35.   39.5  40.5]
61,"Precuneous Cortex, left part",469,33131.5563574,33128.5820312,43831.9179688,[ -5. -53.  43.]
62,"Precuneous Cortex, right part",375,34201.6682865,34631.7226562,40640.8242188,[ 12.5 -55.5  25.5]
8,"Middle Frontal Gyrus, right part",334,31062.5027309,31275.1367188,37003.5429688,[ 27.5  29.5  40.5]
16,"Temporal Pole, right part",327,32565.0758135,33053.671875,38100.1796875,[ 45.   7. -27.]
14,"Precentral Gyrus, right part",225,29847.1928733,29900.4550781,33840.5273438,"[[ 62.5  12.   23. ]
 [ 57.5   9.5  18. ]]"
24,"Middle Temporal Gyrus, posterior division, right part",206,32870.3395878,32555.8398438,39060.5117188,[ 60.  -10.5  -9.5]
60,"Cingulate Gyrus, posterior division, right part",200,32106.7248535,32287.5878906,39004.4960938,[ 15.  -50.5   5.5]
6,"Superior Frontal Gyrus, right part",161,30163.8773413,29592.0351562,36520.4335938,[ 25.   29.5  45.5]
72,"Lingual Gyrus, right part",154,31568.5444526,30583.4335938,38727.5273438,[ 12.5 -50.5   0.5]
34,"Postcentral Gyrus, right part",149,29863.6755977,29900.4550781,32535.0664062,[ 60.  -15.5  43. ]
12,"Inferior Frontal Gyrus, pars opercularis, right part",132,31868.4627871,32353.46875,35433.0703125,[ 52.5  17.   20.5]
10,"Inferior Frontal Gyrus, pars triangularis, right part",127,32038.1673382,32546.1914062,35164.765625,[ 47.5  29.5  18. ]
20,"Superior Temporal Gyrus, posterior division, right part",123,32284.3754129,32278.8144531,39818.7070312,[ 47.5  -8.  -17. ]
59,"Cingulate Gyrus, posterior division, left part",112,32028.3949498,31732.7636719,37295.2070312,[ -2.5 -40.5  35.5]
52,"Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex), right part",111,29923.5326225,30031.2324219,31504.0585938,[ 10.    7.   55.5]
33,"Postcentral Gyrus, left part",106,29940.4249705,28848.6035156,36645.8359375,[ -2.5 -40.5  55.5]
21,"Middle Temporal Gyrus, anterior division, left part",102,33843.9601333,33602.546875,44029.8007812,[-57.5 -10.5 -27. ]
71,"Lingual Gyrus, left part",93,31611.5374664,32287.5878906,35322.5898438,[-10.  -63.    5.5]
66,"Frontal Orbital Cortex, right part",91,31321.8470768,31275.1367188,34199.9101562,[ 40.   19.5  -9.5]
4,"Insular Cortex, right part",78,30916.2727865,30757.6513672,34115.2851562,"[[ 42.5  17.   -7. ]
 [ 40.   17.   -7. ]
 [ 40.   19.5  -7. ]]"
78,"Temporal Occipital Fusiform Cortex, right part",76,31119.0937757,31554.9316406,32987.4414062,"[[ 37.5 -53.  -12. ]
 [ 37.5 -50.5 -12. ]]"
68,"Parahippocampal Gyrus, anterior division, right part",75,30976.0266406,31389.1660156,35190.015625,[ 27.5   2.  -37. ]
26,"Middle Temporal Gyrus, temporooccipital part, right part",73,28955.4731646,28382.8671875,32818.4453125,[ 50.  -40.5   0.5]
22,"Middle Temporal Gyrus, anterior division, right part",68,33720.0588523,33719.8671875,45923.21875,[ 52.5  -3.  -27. ]
13,"Precentral Gyrus, left part",67,29240.1691056,28997.7441406,36004.2773438,[ -2.5 -35.5  55.5]
18,"Superior Temporal Gyrus, anterior division, right part",62,33084.0973412,32666.2431641,39607.4804688,[ 50.   -0.5 -17. ]
31,"Inferior Temporal Gyrus, temporooccipital part, left part",60,28584.9578451,28521.1923828,29626.5546875,[-52.5 -53.  -14.5]
92,"Planum Temporale, right part",55,31013.579652,31393.7734375,32528.9902344,[ 57.5 -30.5  13. ]
42,"Angular Gyrus, right part",52,30522.7234826,31289.2441406,32509.5078125,[ 60. -58.  23.]
38,"Supramarginal Gyrus, anterior division, right part",51,29566.6654412,29592.0351562,31001.4609375,[ 65.  -28.   40.5]
58,"Cingulate Gyrus, anterior division, right part",51,29465.7896369,29419.7441406,32538.4277344,[  2.5  -3.   33. ]
47,"Intracalcarine Cortex, left part",50,32307.8066016,32571.1386719,35476.5507812,[-12.5 -63.    5.5]
40,"Supramarginal Gyrus, posterior division, right part",50,29057.8280859,28445.6152344,31393.7734375,[ 50. -38.   8.]
23,"Middle Temporal Gyrus, posterior division, left part",46,30053.8994141,29248.9238281,37805.15625,[-52.5 -10.5 -17. ]
64,"Cuneal Cortex, right part",45,31713.6953125,32287.5878906,38448.5078125,[  5.  -68.   20.5]
84,"Central Opercular Cortex, right part",41,30675.1596799,30581.578125,32363.796875,[ 50.   2.   8.]
48,"Intracalcarine Cortex, right part",38,33531.9666941,34074.6132812,38478.0390625,[ 15.  -60.5   5.5]
5,"Superior Frontal Gyrus, left part",38,29254.2642887,29061.3007812,30809.9082031,"[[ -7.5  -3.   70.5]
 [ -7.5  -3.   73. ]
 [ -7.5  -0.5  70.5]]"
88,"Planum Polare, right part",36,30760.7650282,30096.4130859,36536.2265625,[ 45.   -5.5 -17. ]
51,"Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex), left part",35,29523.509096,29592.0351562,30895.2578125,[ -2.5  -0.5  68. ]
57,"Cingulate Gyrus, anterior division, left part",31,28931.5638861,28866.6621094,31007.8046875,[ -2.5  -3.   33. ]
76,"Temporal Fusiform Cortex, posterior division, right part",31,31544.4296875,32188.5097656,34842.4648438,[ 40.  -15.5 -29.5]
77,"Temporal Occipital Fusiform Cortex, left part",25,29667.3872656,29726.4785156,31681.3085938,[-42.5 -55.5 -24.5]
17,"Superior Temporal Gyrus, anterior division, left part",24,34125.2770182,34360.0761719,39511.703125,[-50.   -8.  -14.5]
87,"Planum Polare, left part",23,29722.389606,29082.21875,36573.1015625,[-42.5  -0.5 -19.5]
30,"Inferior Temporal Gyrus, posterior division, right part",22,31040.5895774,31642.8085938,32278.8144531,[ 65.  -25.5 -22. ]
70,"Parahippocampal Gyrus, posterior division, right part",19,30848.4890008,30068.1035156,33924.3554688,"[[ 15.  -35.5 -12. ]
 [ 15.  -33.  -12. ]]"
94,"Supracalcarine Cortex, right part",18,31092.9551866,30623.0214844,35722.2578125,"[[ 15.  -63.   13. ]
 [  2.5 -68.   15.5]]"
56,"Paracingulate Gyrus, right part",16,28646.2116699,28913.9511719,28939.6757812,[  5.  22.  48.]
63,"Cuneal Cortex, left part",15,30396.2858073,31252.3476562,31544.8789062,[ -7.5 -88.   23. ]
45,"Lateral Occipital Cortex, inferior division, left part",15,28542.3040365,28485.7519531,28927.8828125,[-45.  -65.5  -9.5]
93,"Supracalcarine Cortex, left part",13,31272.2919171,31177.9394531,33972.7226562,[-12.5 -65.5  13. ]
15,"Temporal Pole, left part",13,29827.9764123,29561.1738281,33602.546875,[-52.5   4.5 -22. ]
19,"Superior Temporal Gyrus, posterior division, left part",12,30542.6542969,29841.4970703,39294.5625,[-55. -13.  -7.]
32,"Inferior Temporal Gyrus, temporooccipital part, right part",11,31104.1787997,31467.0546875,32365.3984375,[ 47.5 -45.5 -27. ]
82,"Frontal Operculum Cortex, right part",11,29880.5332031,30068.1035156,31275.1367188,"[[ 45.   24.5   0.5]
 [ 45.   24.5   3. ]
 [ 42.5  22.    3. ]]"
90,"Heschl's Gyrus (includes H1 and H2), right part",9,30212.6449653,30068.1035156,32514.2226562,[ 55.  -20.5  10.5]
25,"Middle Temporal Gyrus, temporooccipital part, left part",9,28671.7315538,28557.6484375,29678.4277344,[-60.  -45.5   0.5]
96,"Occipital Pole, right part",8,28279.7956543,28218.9716797,28550.2734375,[ 10.  -90.5  25.5]
44,"Lateral Occipital Cortex, superior division, right part",7,31100.0636161,31275.1367188,32023.5917969,[ 60.  -60.5  23. ]
75,"Temporal Fusiform Cortex, posterior division, left part",5,28754.6,28799.2519531,29388.4042969,[-40. -38. -27.]
86,"Parietal Operculum Cortex, right part",5,31288.8847656,31505.40625,31971.734375,[ 55.  -20.5  13. ]
3,"Insular Cortex, left part",5,29621.9742188,29561.1738281,31170.2773438,[-37.5  -3.  -14.5]
74,"Temporal Fusiform Cortex, anterior division, right part",3,31207.3515625,31275.1367188,32278.8144531,[ 32.5  -0.5 -39.5]
27,"Inferior Temporal Gyrus, anterior division, left part",2,27748.6943359,27748.6943359,27770.6914062,[-47.5  -3.  -39.5]
28,"Inferior Temporal Gyrus, anterior division, right part",2,30671.6201172,30671.6201172,31275.1367188,[ 40.    2.  -39.5]
95,"Occipital Pole, left part",1,31214.7890625,31214.7890625,31214.7890625,[ -7.5 -90.5  20.5]
80,"Occipital Fusiform Gyrus, right part",1,30068.1035156,30068.1035156,30068.1035156,[ 17.5 -73.  -12. ]
79,"Occipital Fusiform Gyrus, left part",1,28844.3613281,28844.3613281,28844.3613281,[-40.  -65.5  -9.5]
55,"Paracingulate Gyrus, left part",1,28866.6621094,28866.6621094,28866.6621094,[-10.    9.5  40.5]
