num,label,count,mean,median,max,coords
62,"Precuneous Cortex, right part",393,34424.0968909,33205.4179688,48257.9335938,[ 12.5 -65.5  23. ]
8,"Middle Frontal Gyrus, right part",216,29949.2369611,30244.3828125,34930.7890625,[ 45.  32.  33.]
61,"Precuneous Cortex, left part",167,31442.2071833,31362.9414062,36078.578125,[ -2.5 -63.   28. ]
16,"Temporal Pole, right part",94,30376.3417969,30576.5917969,32701.0664062,"[[ 50.   12.  -24.5]
 [ 47.5   9.5 -22. ]]"
43,"Lateral Occipital Cortex, superior division, left part",90,27652.8784288,27678.9013672,28248.0058594,[-32.5 -83.   20.5]
72,"Lingual Gyrus, right part",80,29984.5113281,30648.3320312,32355.8046875,[ 12.5 -58.    5.5]
24,"Middle Temporal Gyrus, posterior division, right part",74,30206.8864284,30300.5996094,31988.3886719,[ 52.5 -18.  -17. ]
60,"Cingulate Gyrus, posterior division, right part",64,29532.0978699,28569.4179688,36120.421875,[ 12.5 -50.5  33. ]
64,"Cuneal Cortex, right part",54,33357.0992115,31992.9785156,45682.5585938,[ 12.5 -68.   23. ]
10,"Inferior Frontal Gyrus, pars triangularis, right part",52,30553.1415264,30867.8769531,31996.8671875,[ 55.   29.5  18. ]
78,"Temporal Occipital Fusiform Cortex, right part",48,30500.5653076,30553.3828125,32756.5273438,[ 37.5 -50.5 -12. ]
76,"Temporal Fusiform Cortex, posterior division, right part",38,30723.6847245,30653.6552734,33118.1367188,[ 42.5 -15.5 -24.5]
30,"Inferior Temporal Gyrus, posterior division, right part",35,30483.4399554,30340.7871094,33534.2070312,[ 47.5 -33.  -19.5]
22,"Middle Temporal Gyrus, anterior division, right part",35,31734.2583147,31339.2246094,37352.0898438,[ 52.5  -3.  -22. ]
18,"Superior Temporal Gyrus, anterior division, right part",33,32306.5725616,31999.59375,37838.90625,[ 47.5  -0.5 -19.5]
2,"Frontal Pole, right part",29,28636.9467942,28648.5722656,29006.5683594,[ 22.5  42.   45.5]
32,"Inferior Temporal Gyrus, temporooccipital part, right part",26,30790.9621394,30818.9150391,32699.0546875,[ 50. -48. -22.]
33,"Postcentral Gyrus, left part",22,33177.5332031,34156.4648438,34778.8632812,[ -7.5 -43.   55.5]
82,"Frontal Operculum Cortex, right part",21,30254.6182106,30581.4257812,31411.3242188,[ 45.   17.    5.5]
59,"Cingulate Gyrus, posterior division, left part",21,28507.9042969,27777.7773438,31407.1699219,[-10.  -43.   40.5]
12,"Inferior Frontal Gyrus, pars opercularis, right part",17,29815.9148667,29879.7753906,31246.6835938,[ 55.  22.  23.]
48,"Intracalcarine Cortex, right part",17,30542.2110524,30073.6445312,33000.8828125,[ 20.  -60.5   5.5]
20,"Superior Temporal Gyrus, posterior division, right part",14,29783.7970145,29879.7753906,35660.8554688,[ 47.5  -8.  -17. ]
70,"Parahippocampal Gyrus, posterior division, right part",14,29609.7938058,29879.7753906,30982.0703125,[ 12.5 -35.5  -7. ]
94,"Supracalcarine Cortex, right part",14,30319.0876116,30717.0,32629.1542969,"[[ 22.5 -65.5  20.5]
 [ 17.5 -65.5  18. ]]"
4,"Insular Cortex, right part",13,29668.2809495,30581.4257812,30986.4101562,[ 40.   19.5  -7. ]
6,"Superior Frontal Gyrus, right part",9,29319.4670139,28786.9160156,31112.0253906,[ 25.  27.  43.]
88,"Planum Polare, right part",8,28908.9987793,28679.1025391,31091.2519531,[ 45.   -5.5 -17. ]
66,"Frontal Orbital Cortex, right part",7,30289.6609933,30724.4277344,31007.9550781,[ 42.5  17.   -9.5]
13,"Precentral Gyrus, left part",7,32008.922433,31992.9785156,34503.8398438,[ -2.5 -35.5  55.5]
63,"Cuneal Cortex, left part",6,27736.5540365,27740.7714844,27831.6875,"[[-17.5 -73.   20.5]
 [-20.  -70.5  20.5]]"
90,"Heschl's Gyrus (includes H1 and H2), right part",6,27342.3714193,27349.34375,27381.9824219,[ 50.  -10.5   0.5]
14,"Precentral Gyrus, right part",4,28367.2700195,28646.5117188,28937.3085938,[ 47.5   7.   35.5]
44,"Lateral Occipital Cortex, superior division, right part",3,33207.9720052,33485.9648438,33508.796875,[ 27.5 -65.5  30.5]
28,"Inferior Temporal Gyrus, anterior division, right part",1,29879.7753906,29879.7753906,29879.7753906,[ 42.5  -0.5 -37. ]
68,"Parahippocampal Gyrus, anterior division, right part",1,29879.7753906,29879.7753906,29879.7753906,[ 35.  -15.5 -29.5]
