num,label,count,mean,median,max,coords
62,"Precuneous Cortex, right part",382,34385.0018969,33071.9804688,48123.3242188,[ 12.5 -65.5  23. ]
8,"Middle Frontal Gyrus, right part",193,30099.8150704,30100.9453125,34687.4609375,[ 45.  32.  33.]
61,"Precuneous Cortex, left part",160,31471.4791626,31218.4257812,35882.9726562,[ -2.5 -63.   28. ]
16,"Temporal Pole, right part",91,30264.4412775,30437.6992188,32481.328125,[ 50.   12.  -24.5]
72,"Lingual Gyrus, right part",68,30309.1171875,30642.1337891,32227.1015625,[ 12.5 -58.    5.5]
24,"Middle Temporal Gyrus, posterior division, right part",56,30272.0902623,30719.4921875,31821.7246094,[ 52.5 -18.  -17. ]
64,"Cuneal Cortex, right part",54,33206.4094329,31846.5996094,45559.8710938,[ 12.5 -68.   23. ]
10,"Inferior Frontal Gyrus, pars triangularis, right part",51,30391.2203585,30721.265625,31757.0449219,[ 55.   29.5  18. ]
78,"Temporal Occipital Fusiform Cortex, right part",49,30347.0574777,30410.0605469,32620.0820312,[ 37.5 -50.5 -12. ]
60,"Cingulate Gyrus, posterior division, right part",46,30133.3346637,30160.6601562,34881.8398438,[ 12.5 -50.5  33. ]
43,"Lateral Occipital Cortex, superior division, left part",45,27763.0242188,27730.7285156,28185.3691406,[-32.5 -83.   20.5]
76,"Temporal Fusiform Cortex, posterior division, right part",37,30597.7556482,30582.4863281,32950.1601562,[ 42.5 -15.5 -24.5]
22,"Middle Temporal Gyrus, anterior division, right part",35,31463.4212054,31196.3710938,37098.3007812,[ 52.5  -3.  -22. ]
30,"Inferior Temporal Gyrus, posterior division, right part",33,30424.1923532,30410.0605469,33262.296875,[ 47.5 -33.  -19.5]
18,"Superior Temporal Gyrus, anterior division, right part",33,32080.5960582,31843.0839844,37582.859375,[ 47.5  -0.5 -19.5]
2,"Frontal Pole, right part",26,29501.4234525,29809.2460938,30099.0253906,"[[ 22.5  42.   45.5]
 [ 20.   42.   45.5]]"
32,"Inferior Temporal Gyrus, temporooccipital part, right part",26,30618.9987981,30665.4638672,32394.9570312,[ 50. -48. -22.]
33,"Postcentral Gyrus, left part",22,32988.9264915,33981.7460938,34580.7070312,[ -7.5 -43.   55.5]
82,"Frontal Operculum Cortex, right part",21,30185.0511533,30437.6992188,31266.4179688,[ 45.   17.    5.5]
48,"Intracalcarine Cortex, right part",18,30436.1044922,30307.1552734,32872.65625,[ 20.  -60.5   5.5]
12,"Inferior Frontal Gyrus, pars opercularis, right part",16,29745.8887939,29918.9482422,31055.4628906,[ 47.5  17.    8. ]
70,"Parahippocampal Gyrus, posterior division, right part",14,29469.2861328,29736.9511719,30880.4785156,[ 12.5 -35.5  -7. ]
94,"Supracalcarine Cortex, right part",14,30170.0325056,30574.5546875,32475.1210938,"[[ 22.5 -65.5  20.5]
 [ 17.5 -65.5  18. ]]"
4,"Insular Cortex, right part",11,30009.4643111,30536.8144531,30867.2558594,"[[ 42.5  17.   -4.5]
 [ 40.   19.5  -7. ]]"
20,"Superior Temporal Gyrus, posterior division, right part",10,30518.971875,29736.9511719,35460.0234375,[ 47.5  -8.  -17. ]
59,"Cingulate Gyrus, posterior division, left part",10,29662.0945313,29741.8583984,31262.4492188,[-10.  -43.   40.5]
6,"Superior Frontal Gyrus, right part",9,29899.937717,29874.2285156,30964.2851562,[ 25.  27.  43.]
13,"Precentral Gyrus, left part",8,31426.1977539,31532.5126953,34336.640625,[ -2.5 -35.5  55.5]
66,"Frontal Orbital Cortex, right part",7,30442.1531808,30591.0683594,30888.7011719,[ 42.5  17.   -9.5]
63,"Cuneal Cortex, left part",6,27747.3434245,27770.7373047,27829.7089844,"[[-17.5 -73.   20.5]
 [-20.  -70.5  20.5]]"
88,"Planum Polare, right part",4,30162.8989258,30112.0068359,30690.6308594,[ 45.   -5.5 -17. ]
44,"Lateral Occipital Cortex, superior division, right part",3,33277.2630208,33360.1171875,33360.1171875,"[[ 27.5 -65.5  30.5]
 [ 27.5 -65.5  33. ]]"
14,"Precentral Gyrus, right part",3,28593.3404948,28573.8300781,28783.4433594,[ 47.5   7.   35.5]
68,"Parahippocampal Gyrus, anterior division, right part",1,29736.9511719,29736.9511719,29736.9511719,[ 35.  -15.5 -29.5]
28,"Inferior Temporal Gyrus, anterior division, right part",1,29736.9511719,29736.9511719,29736.9511719,[ 42.5  -0.5 -37. ]
